filename,ehitiseKorgus,ehitisePindala,ehitiseMaht,ventilatsioon
103014811.ehr.json,,3229.4,11903.0,
103015648.ehr.json,14.5,3757.7,12450.0,loomulik ventilatsioon
103015786.ehr.json,16.0,3220.4,11671.0,loomulik ventilatsioon
104018086.ehr.json,,9860.5,33240.0,
104018213.ehr.json,,4989.8,17111.0,loomulik ventilatsioon
104018376.ehr.json,,7950.8,16000.0,loomulik ventilatsioon
104019313.ehr.json,,4988.3,17111.0,loomulik ventilatsioon
104023804.ehr.json,,9890.2,34109.0,
104036004.ehr.json,,5003.3,17111.0,
121363179.ehr.json,11.0,650.0,2584.0,soojustagastusega ventilatsioon
121363182.ehr.json,11.0,632.4,2528.0,soojustagastusega ventilatsioon
121363185.ehr.json,11.0,616.3,2465.0,soojustagastusega ventilatsioon
